Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
2170.0,500.0,13776.0,8856,0,swarm,mm,1,exp12,1,0,1,1,8,512,30,120.78,3215.36,402.866,458.47
4.7,500.0,14827.0,9841,1,swarm,mm,1,exp15,4,1,1,1,8,512,30,3.013,20.784,0.769,493.57
4.11,500.0,14768.0,9848,1,swarm,mm,1,exp15,5,1,1,1,8,512,30,3.047,19.776,0.606,491.73
8.2,500.0,14767.0,9855,1,swarm,sn,1,exp13,5,0,1,0,8,512,30,4.84,22.48,1.302,491.2
8.03,500.0,14769.0,9850,1,swarm,sn,1,exp13,4,0,1,0,8,512,30,4.769,14.376,1.268,491.7
7.86,500.0,14769.0,9852,1,swarm,sn,1,exp13,3,0,1,0,8,512,30,4.543,10.896,1.285,491.93
1780.0,500.0,14710.0,9861,1,swarm,sn,1,exp14,5,0,0,1,8,512,30,125.647,4173.824,369.848,489.92
3.87,500.0,14717.0,9863,1,swarm,mm,1,exp15,3,1,1,1,8,512,30,2.919,14.128,0.5,489.54
1220.0,500.0,14673.0,9861,1,swarm,sn,1,exp14,4,0,0,1,8,512,30,88.735,2617.344,257.43,488.53
93.57,500.0,14765.0,9858,1,swarm,sn,1,exp14,2,0,0,1,8,512,30,11.34,252.8,20.472,491.1
6.95,500.0,14768.0,9849,1,swarm,sn,1,exp13,2,0,1,0,8,512,30,4.03,10.024,1.293,491.96
6.81,500.0,14771.0,9850,1,swarm,sn,1,exp13,1,0,1,0,8,512,30,2.473,9.216,1.624,492.03
6.62,500.0,14720.0,9863,1,swarm,sn,1,exp14,1,0,0,1,8,512,30,2.125,10.72,1.195,489.79
4.0,500.0,14828.0,9843,1,swarm,mm,1,exp13,5,0,1,0,8,512,30,3.127,8.104,0.306,493.93
3.92,500.0,14768.0,9850,1,swarm,mm,1,exp13,4,0,1,0,8,512,30,3.053,6.384,0.291,491.32
1170.0,500.0,14782.0,9843,1,swarm,sn,1,exp14,3,0,0,1,8,512,30,94.768,2971.648,254.686,491.66
22.77,500.0,14719.0,9863,1,swarm,mm,1,exp13,3,0,1,0,8,512,30,3.534,66.56,3.558,489.96
3.9,500.0,14768.0,9852,1,swarm,mm,1,exp15,2,1,1,1,8,512,30,2.88,14.552,0.549,491.85
9980.0,500.0,13847.0,9526,1,swarm,hr,1,exp14,5,0,0,1,8,512,30,1557.53,15450.112,2384.706,460.95
3.62,500.0,14826.0,9841,1,swarm,mm,1,exp14,5,0,0,1,8,512,30,1.806,4.56,0.481,493.46
3.59,500.0,14768.0,9849,1,swarm,mm,1,exp14,4,0,0,1,8,512,30,1.819,6.5,0.487,491.76
3.59,500.0,14768.0,9848,1,swarm,mm,1,exp14,3,0,0,1,8,512,30,1.802,5.852,0.477,491.21
3.64,500.0,14769.0,9849,1,swarm,mm,1,exp14,2,0,0,1,8,512,30,1.825,11.192,0.523,491.9
5.72,500.0,14828.0,9842,1,swarm,hr,1,exp13,5,0,1,0,8,512,30,2.253,20.928,1.233,493.62
5.69,500.0,14769.0,9850,1,swarm,hr,1,exp13,4,0,1,0,8,512,30,2.231,7.2,1.198,491.22
3.86,500.0,14826.0,9842,1,swarm,mm,1,exp15,1,1,1,1,8,512,30,2.823,17.968,0.569,493.49
7.22,500.0,14827.0,9842,1,swarm,hr,1,exp13,3,0,1,0,8,512,30,2.401,13.752,1.548,493.2
7.24,500.0,14719.0,9863,1,swarm,hr,1,exp13,1,0,1,0,8,512,30,2.416,12.464,1.56,489.58
3.95,500.0,14824.0,9841,1,swarm,mm,1,exp14,1,0,0,1,8,512,30,7.317,2854.912,90.242,493.13
10620.0,500.0,13788.0,9539,1,swarm,hr,1,exp14,1,0,0,1,8,512,30,1680.03,17924.096,2488.192,458.65
10670.0,500.0,13887.0,9628,1,swarm,hr,1,exp14,2,0,0,1,8,512,30,1670.437,21921.792,2544.985,462.65
10980.0,500.0,13920.0,9607,1,swarm,hr,1,exp14,3,0,0,1,8,512,30,1573.741,21643.264,2601.847,463.3
10140.0,500.0,13896.0,9545,1,swarm,hr,1,exp14,4,0,0,1,8,512,30,1573.39,24379.392,2412.874,462.6
7.39,500.0,14825.0,9841,1,swarm,hr,1,exp13,2,0,1,0,8,512,30,2.398,13.192,1.555,493.11
3.66,500.0,14828.0,9842,1,swarm,mm,1,exp13,2,0,1,0,8,512,30,2.877,7.268,0.274,493.5
14790.0,500.0,10008.0,6713,0,swarm,mm,1,exp12,2,0,1,1,8,512,30,5963.383,18432.0,3139.313,332.87
6.75,500.0,14829.0,9843,1,swarm,sn,1,exp15,2,1,1,1,8,512,30,4.023,12.272,1.255,493.54
7.86,500.0,14825.0,9845,0,swarm,sn,1,exp12,5,0,1,1,8,512,30,4.743,1007.616,10.183,493.86
7.75,500.0,14827.0,9843,0,swarm,sn,1,exp12,4,0,1,1,8,512,30,4.511,1019.904,11.182,493.93
7.1,500.0,14770.0,9852,0,swarm,sn,1,exp12,3,0,1,1,8,512,30,4.104,10.312,1.167,491.9
6.85,500.0,14771.0,9850,1,swarm,sn,1,exp15,1,1,1,1,8,512,30,2.601,24.64,1.679,491.63
13800.0,500.0,10269.0,6620,0,swarm,mm,1,exp12,5,0,1,1,8,512,30,5605.979,18792.448,3028.216,341.54
6.16,500.0,14826.0,9842,0,swarm,sn,1,exp12,2,0,1,1,8,512,30,3.736,8.352,1.159,493.57
6.47,500.0,14768.0,9848,0,swarm,sn,1,exp12,1,0,1,1,8,512,30,2.479,10.304,1.585,491.87
14930.0,500.0,9847.0,6589,0,swarm,mm,1,exp12,4,0,1,1,8,512,30,6349.4,19972.096,3258.561,327.52
5.91,500.0,14769.0,9848,1,swarm,hr,1,exp15,5,1,1,1,8,512,30,2.327,8.488,1.273,492.09
5.73,500.0,14823.0,9843,1,swarm,hr,1,exp15,4,1,1,1,8,512,30,2.266,7.728,1.188,493.02
5.72,500.0,14771.0,9850,1,swarm,hr,1,exp15,2,1,1,1,8,512,30,2.275,8.112,1.194,491.47
16219.999999999998,500.0,11108.0,9708,1,swarm,hr,1,exp15,1,1,1,1,8,512,30,7146.148,24231.936,3572.305,369.95
5.65,500.0,14828.0,9843,1,swarm,hr,1,exp15,3,1,1,1,8,512,30,2.259,8.92,1.174,493.93
3.76,500.0,14827.0,9841,1,swarm,mm,1,exp13,1,0,1,0,8,512,30,2.828,24.032,0.813,493.8
8.19,500.0,14828.0,9842,0,swarm,hr,1,exp12,1,0,1,1,8,512,30,2.577,11.024,1.769,493.65
8.65,500.0,14828.0,9842,0,swarm,hr,1,exp12,2,0,1,1,8,512,30,2.604,15.152,1.862,493.87
8.14,500.0,14720.0,9862,0,swarm,hr,1,exp12,3,0,1,1,8,512,30,2.561,12.616,1.73,490.21
8.22,500.0,14768.0,9851,0,swarm,hr,1,exp12,4,0,1,1,8,512,30,2.564,13.528,1.823,491.74
8.31,500.0,14768.0,9849,0,swarm,hr,1,exp12,5,0,1,1,8,512,30,2.472,12.592,1.793,491.65
8.26,500.0,14826.0,9841,1,swarm,sn,1,exp15,5,1,1,1,8,512,30,4.888,16.96,1.273,493.25
10400.0,500.0,11276.0,6358,0,swarm,mm,1,exp12,3,0,1,1,8,512,30,3445.497,13705.216,2421.424,375.47
7.76,500.0,14828.0,9842,1,swarm,sn,1,exp15,3,1,1,1,8,512,30,4.394,13.696,1.286,493.64
7.98,500.0,14826.0,9842,1,swarm,sn,1,exp15,4,1,1,1,8,512,30,4.657,12.664,1.267,493.16
21710.0,1000.0,10294.0,7225,0,swarm,mm,1,exp12,5,0,1,1,8,512,30,13152.649,24592.384,4050.353,342.36
13570.0,1000.0,19951.0,13086,1,swarm,mm,1,exp13,3,0,1,0,8,512,30,6183.024,17907.712,2907.117,664.92
1190.0,1000.0,29880.0,19994,1,swarm,sn,1,exp14,4,0,0,1,8,512,30,61.149,3338.24,225.491,995.38
13990.0,1000.0,19587.0,13180,1,swarm,mm,1,exp13,2,0,1,0,8,512,30,6606.489,17842.176,2970.97,651.66
11410.0,1000.0,21299.0,13241,1,swarm,mm,1,exp13,1,0,1,0,8,512,30,4880.262,14434.304,2630.475,709.27
1880.0,1000.0,29827.0,20004,1,swarm,sn,1,exp14,5,0,0,1,8,512,30,98.911,4923.392,365.959,993.7
21680.0,1000.0,10123.0,6976,0,swarm,mm,1,exp12,4,0,1,1,8,512,30,12949.173,24903.68,4180.431,337.25
1170.0,1000.0,29717.0,19952,1,swarm,sn,1,exp14,3,0,0,1,8,512,30,67.761,2996.224,232.336,990.2
21770.0,1000.0,10079.0,6897,0,swarm,mm,1,exp12,3,0,1,1,8,512,30,13008.253,24379.392,4195.181,335.74
5.03,1000.0,29932.0,19998,1,swarm,hr,1,exp15,3,1,1,1,8,512,30,1.907,11.608,1.029,997.38
2.83,1000.0,29933.0,19998,1,swarm,mm,1,exp14,5,0,0,1,8,512,30,1.472,6.108,0.348,997.71
2.79,1000.0,29658.0,19935,1,swarm,mm,1,exp14,4,0,0,1,8,512,30,1.452,4.372,0.337,988.27
21940.0,1000.0,10079.0,6899,0,swarm,mm,1,exp12,1,0,1,1,8,512,30,13107.787,24657.92,4134.889,335.46
13990.0,1000.0,19551.0,13026,1,swarm,mm,1,exp13,4,0,1,0,8,512,30,6597.384,17055.744,2952.016,651.32
5.07,1000.0,29790.0,19969,1,swarm,hr,1,exp15,1,1,1,1,8,512,30,1.908,7.124,1.033,992.67
4.96,1000.0,29791.0,19968,1,swarm,hr,1,exp15,2,1,1,1,8,512,30,1.877,10.192,1.023,992.21
5.06,1000.0,29937.0,19999,1,swarm,hr,1,exp15,4,1,1,1,8,512,30,1.923,9.672,1.046,997.16
13360.0,1000.0,19712.0,12989,1,swarm,mm,1,exp13,5,0,1,0,8,512,30,6210.433,18235.392,2892.603,655.92
5.22,1000.0,29932.0,19999,1,swarm,hr,1,exp15,5,1,1,1,8,512,30,1.936,8.04,1.093,997.3
5960.0,1000.0,28828.0,19860,1,swarm,hr,1,exp14,5,0,0,1,8,512,30,922.31,10182.656,1392.956,960.45
